index,message,reply
455,"Yeah that is pretty good. He made a good choice I guess, he's one of the biggest rappers in the world right now. He can always go back. ","Big Sean is? Weird, most have never heard of him. I do like Kanye's middle name, Omari,. "
456,"Big Sean is? Weird, most have never heard of him. I do like Kanye's middle name, Omari,. ",So his initials are K.O.W. That's funny! 
457,So his initials are K.O.W. That's funny! ,"I love the skits Saturday Night Live does of trump. The one of Brett Kavanaugh was hilarious, have you seen it?"
458,"I love the skits Saturday Night Live does of trump. The one of Brett Kavanaugh was hilarious, have you seen it?",Yes it was hilarious! 
459,Yes it was hilarious! ,"Thank you for chatting with me, have a nice day."
460,"Thank you for chatting with me, have a nice day.","I enjoyed it, I hope you have a nice day as well. "
461,"I enjoyed it, I hope you have a nice day as well. ",Hello.  Did you know that there is a candy desk in the us senate?
462,Hello.  Did you know that there is a candy desk in the us senate?,"haha yeah, I heard about that. It's been there since 1968."
463,"haha yeah, I heard about that. It's been there since 1968.",I guess they all like candy a lot!  At least it's american made. The candy is made in pennsylvania.
464,I guess they all like candy a lot!  At least it's american made. The candy is made in pennsylvania.,What candy is made in Pennsylvania besides Hershey?
465,What candy is made in Pennsylvania besides Hershey?,"They've got milky way bars, mars bars, and even jelly beans!"
466,"They've got milky way bars, mars bars, and even jelly beans!","Wow, that's way cooler than the fact that they didn't let women wear pants until 1993."
467,"Wow, that's way cooler than the fact that they didn't let women wear pants until 1993.",I know. It is so surprising to me that it took that long for two women senators to protest by wearing pants on the senate floor.
468,I know. It is so surprising to me that it took that long for two women senators to protest by wearing pants on the senate floor.,"They wore pantsuits, they kept it classy. haha."
469,"They wore pantsuits, they kept it classy. haha.",Yes they did.  Senate is very big on tradition.  They used the same gavel for 165 years until it got cracked.
470,Yes they did.  Senate is very big on tradition.  They used the same gavel for 165 years until it got cracked.,"Senate can be so cool, haha. Did you hear that in 1988 they arrested senators to force them to vote? I thought that sort of things only happened on House of Cards"
471,"Senate can be so cool, haha. Did you hear that in 1988 they arrested senators to force them to vote? I thought that sort of things only happened on House of Cards",I have heard about that.  One of the senators tried to escape and was carried feet first into the senate chamber by three officers!
472,I have heard about that.  One of the senators tried to escape and was carried feet first into the senate chamber by three officers!,"Yeah, I think that rule might be from before senators were elected. They weren't elected until 1913."
473,"Yeah, I think that rule might be from before senators were elected. They weren't elected until 1913.",Elections are a good and a bad thing.  I've heard somewhere that the people of Ancient Athens came to the conclusion that elections would lead to an oligarchy.
474,Elections are a good and a bad thing.  I've heard somewhere that the people of Ancient Athens came to the conclusion that elections would lead to an oligarchy.,I think that might be because nobody votes. Voter turn out hasn't gone higher than 62% in 100 years.
475,I think that might be because nobody votes. Voter turn out hasn't gone higher than 62% in 100 years.,Maybe some people figure there's no need to vote.  Research shows that the taller candidate wins most of the time anyway.
476,Maybe some people figure there's no need to vote.  Research shows that the taller candidate wins most of the time anyway.,We should just have people voted in by lottery. That's what Athens used to do.
477,We should just have people voted in by lottery. That's what Athens used to do.,It almost seems as if that is what we have now.  I think more states than just Nevada show have a none of these candidates on their ballots.
478,It almost seems as if that is what we have now.  I think more states than just Nevada show have a none of these candidates on their ballots.,"Yeah, hopefully we'll see some electoral reform soon, hopefully we can see this will improve fairness."
479,"Yeah, hopefully we'll see some electoral reform soon, hopefully we can see this will improve fairness.",Speaking of fairness did you know that not all men in the UK could vote until 1918?
480,Speaking of fairness did you know that not all men in the UK could vote until 1918?,"nope. But, I did hear that astronauts can vote from space."
481,"nope. But, I did hear that astronauts can vote from space.",That is amazing and very determined.  It's like India setting up a booth just so one person can vote in a forest that is full of lions!
482,That is amazing and very determined.  It's like India setting up a booth just so one person can vote in a forest that is full of lions!,Hi are you a fan of Star Wars?
483,Hi are you a fan of Star Wars?,"My son is, so I know a little bit about it."
484,"My son is, so I know a little bit about it.",Nice!  Did you see the first movie when it came out in 1977?  I remember going to the theater to see it.
485,Nice!  Did you see the first movie when it came out in 1977?  I remember going to the theater to see it.,"No, I did not.  My son went with his friends. Apparently, Star Wars was dubbed in Navajo in 2013."
486,"No, I did not.  My son went with his friends. Apparently, Star Wars was dubbed in Navajo in 2013.",There must have been a big enough market for them to do that.  They have the money to do it that's for sure.  Just the box office alone the Star Wars franchise has brought in over $8.5 billion dollars!
487,There must have been a big enough market for them to do that.  They have the money to do it that's for sure.  Just the box office alone the Star Wars franchise has brought in over $8.5 billion dollars!,20th Century Fox did not think that Star Wars was going to succeed.  Do you know what happened to Star Wars' licensing and merchandising rights?
488,20th Century Fox did not think that Star Wars was going to succeed.  Do you know what happened to Star Wars' licensing and merchandising rights?,Didn't George Lucas get them somehow?
489,Didn't George Lucas get them somehow?,"Yes, because they did not want to pay additional directing fee to Lucas. "
490,"Yes, because they did not want to pay additional directing fee to Lucas. ",Nice.  He scored then big time because the entire Star Wars franchise is estimated to $65 billion dollars!
491,Nice.  He scored then big time because the entire Star Wars franchise is estimated to $65 billion dollars!,"20th Century Fox avoided to pay additional fee of only $500k to Lucas.  They were willing to give the licensing and merchandising to him.  Someone got fired at the company, I'll bet."
492,"20th Century Fox avoided to pay additional fee of only $500k to Lucas.  They were willing to give the licensing and merchandising to him.  Someone got fired at the company, I'll bet.",You know it!  George Lucas' wife Marcia won an academy award for editing the film!
493,You know it!  George Lucas' wife Marcia won an academy award for editing the film!,"I heard about it.  She was talented.  By the way,  Marcia is no longer married to Lucas."
494,"I heard about it.  She was talented.  By the way,  Marcia is no longer married to Lucas.",Whoa!  I didn't know that.  Maybe George doesn't have as much as that $65 billion as I thought.  Yikes.
495,Whoa!  I didn't know that.  Maybe George doesn't have as much as that $65 billion as I thought.  Yikes.,"It's okay.  Marcia is entitled to the money too.  She want the award, remember?"
496,"It's okay.  Marcia is entitled to the money too.  She want the award, remember?",Yes!  lol  James Earl Jones took only 2.5 hours to record all of the parts for Darth Vader for the original movie.
497,Yes!  lol  James Earl Jones took only 2.5 hours to record all of the parts for Darth Vader for the original movie.,"Sorry, what I meant was ""she won the award"". About James Earl Jones - I think he was only paid $7500 for his work.  That was not fair."
498,"Sorry, what I meant was ""she won the award"". About James Earl Jones - I think he was only paid $7500 for his work.  That was not fair.",Wow.  That sure doesn't.  I wonder if he gets any licensing fees at all for Darth Vader?  On a different subject....did you know that Earth's surface is 71 percent water and 29 percent land?
499,Wow.  That sure doesn't.  I wonder if he gets any licensing fees at all for Darth Vader?  On a different subject....did you know that Earth's surface is 71 percent water and 29 percent land?,I did not know the exact percentages.  Thanks for the info!
500,I did not know the exact percentages.  Thanks for the info!,On a sad note relating to those percentages....more than 80 percent of the earths natural forests have already been destroyed?
501,On a sad note relating to those percentages....more than 80 percent of the earths natural forests have already been destroyed?,I heard about it and we need to do something about it.  
502,I heard about it and we need to do something about it.  ,I agree.  It's sad.  I had a good time chatting with you tonight!
503,I agree.  It's sad.  I had a good time chatting with you tonight!,I thank you for your information - I learned a lot from you.  Have a good night.
504,I thank you for your information - I learned a lot from you.  Have a good night.,Hey! Are you a Star Wars fan? I love George Lucas for creating such a cool storyline.
505,Hey! Are you a Star Wars fan? I love George Lucas for creating such a cool storyline.,Hello! I do like Star Wars! I can't believe companies thought it would be a flop!
506,Hello! I do like Star Wars! I can't believe companies thought it would be a flop!,Yeah can you believe that? Now the franchise of Star Wars is estimated to be worth $65 billion.
507,Yeah can you believe that? Now the franchise of Star Wars is estimated to be worth $65 billion.,"I'm glad 20th century fox finally decided to jump on board with them! My mind is blown, George Lucas says the entire story is told by r2d2!"
508,"I'm glad 20th century fox finally decided to jump on board with them! My mind is blown, George Lucas says the entire story is told by r2d2!",Wow I never knew that. Star Wars is the second highest grossing film series of all time. I wonder what the first one is?
509,Wow I never knew that. Star Wars is the second highest grossing film series of all time. I wonder what the first one is?,Maybe the Harry Potter movies? I don't think the movie Blade Runner comes close to it haha. Have you seen it?
510,Maybe the Harry Potter movies? I don't think the movie Blade Runner comes close to it haha. Have you seen it?,Yeah I have seen all the blade runner movies. They are very cool and gritty. Ridley Scott is a good director.
511,Yeah I have seen all the blade runner movies. They are very cool and gritty. Ridley Scott is a good director.,I still have yet to see one but I want to! I like how the director and Harrison Ford debated if his character was real or not!
512,I still have yet to see one but I want to! I like how the director and Harrison Ford debated if his character was real or not!,Now that is something that I have thought a lot about as well. That classic line at the end of the first movie delivered by the replicant was actually improvise by the actor.
513,Now that is something that I have thought a lot about as well. That classic line at the end of the first movie delivered by the replicant was actually improvise by the actor.,I think the whole concept of that movie was done right just by hearing about it! I didn't even know the composer to the soundtrack couldn't read music!
514,I think the whole concept of that movie was done right just by hearing about it! I didn't even know the composer to the soundtrack couldn't read music!,"That is fascinating! Blade runner was the last sci-fi movie to be made completely analog, that is there were no computerized graphics."
515,"That is fascinating! Blade runner was the last sci-fi movie to be made completely analog, that is there were no computerized graphics.","Wow, and now it seems like it's all computerized graphics! Speaking of crazy, isn't earth awesome?"
516,"Wow, and now it seems like it's all computerized graphics! Speaking of crazy, isn't earth awesome?",Yes earth is epic indeed! When earth was first formed a day was only 5.5 hours long! But that was a very long time ago!
517,Yes earth is epic indeed! When earth was first formed a day was only 5.5 hours long! But that was a very long time ago!,I feel like I would never be able to catch up on sleep during that time lol. I wonder at what point will earth's days be like 40 hours haha.
518,I feel like I would never be able to catch up on sleep during that time lol. I wonder at what point will earth's days be like 40 hours haha.,Yeah I've wondered that as well. I don't look forward to working that long! Earth will also be helium free by the end of the 21st-century. No more balloons for us!
519,Yeah I've wondered that as well. I don't look forward to working that long! Earth will also be helium free by the end of the 21st-century. No more balloons for us!,"I wonder if clowns will be out of jobs at that time as well haha. We do have to thank Jupiter though, they save us from many asteroids coming our way!"
520,"I wonder if clowns will be out of jobs at that time as well haha. We do have to thank Jupiter though, they save us from many asteroids coming our way!",Do they really? I'm not really familiar with that concept. One sad statistic is that more than 80% of the earths natural forest have already been destroyed.
521,Do they really? I'm not really familiar with that concept. One sad statistic is that more than 80% of the earths natural forest have already been destroyed.,That is so sad! We are destroying the planet we live on! That is even more sad because the world is 71 percent water anyways!
522,That is so sad! We are destroying the planet we live on! That is even more sad because the world is 71 percent water anyways!,"Yes it is. Mostly by oceans but also lakes, rivers, and other sources! Well it was lovely getting to talk with you!"
523,"Yes it is. Mostly by oceans but also lakes, rivers, and other sources! Well it was lovely getting to talk with you!","I agree, It was nice chatting with you as well. Have a great day!"
524,"I agree, It was nice chatting with you as well. Have a great day!",You as well. Goodbye now!
525,You as well. Goodbye now!,"Hello, How are you? Do you like politics?"
526,"Hello, How are you? Do you like politics?","Im well.  I do like politics, I just find our current climate a bit hostile."
527,"Im well.  I do like politics, I just find our current climate a bit hostile.","lol, I agree with you!! I didn't know Nevada is the only state to have a none of the above voting option?"
528,"lol, I agree with you!! I didn't know Nevada is the only state to have a none of the above voting option?",I think that is a perfect option.  Sometimes there just arent good candidates.
529,I think that is a perfect option.  Sometimes there just arent good candidates.,I agree!! Did you know since 1900 the taller candidate has won by 75%?
530,I agree!! Did you know since 1900 the taller candidate has won by 75%?,"yeah, I guess people think dominance with height?  Not sure how that one works.  And All bearded presdients were republican"
531,"yeah, I guess people think dominance with height?  Not sure how that one works.  And All bearded presdients were republican","Yes, I heard that too! Good to know the astronauts in space can vote too!"
532,"Yes, I heard that too! Good to know the astronauts in space can vote too!","They can.  And in certain places they might have voted for some animals.  Like a cat named Hank, third place in Virginia senate election"
533,"They can.  And in certain places they might have voted for some animals.  Like a cat named Hank, third place in Virginia senate election",Oh my goodness! Really. At least we don't have to go into the forest with lions like they do in Indian government!
534,Oh my goodness! Really. At least we don't have to go into the forest with lions like they do in Indian government!,"I know, id be skipping out on that election."
535,"I know, id be skipping out on that election.",I think I would too! Too bad Richard Nixon cracked that 165 year old gavel the senate used. It must be somewhere on display.
536,I think I would too! Too bad Richard Nixon cracked that 165 year old gavel the senate used. It must be somewhere on display.,"Yeah, that has to be a piece of US history."
537,"Yeah, that has to be a piece of US history.",Love the candy desk idea at the senate! Now I'm going to think about them going thru that drawer full of milky ways . mars bars and jelly beans!
538,Love the candy desk idea at the senate! Now I'm going to think about them going thru that drawer full of milky ways . mars bars and jelly beans!,It does sound like the best idea ever.  All that candy is made in Pennsylvania too.
539,It does sound like the best idea ever.  All that candy is made in Pennsylvania too.,"Yes, keep their sugar levels up!! lol"
540,"Yes, keep their sugar levels up!! lol",Keep them working.  LOL
541,Keep them working.  LOL,"Yeah, can't make good choices when your sugar has dropped!  It can't believe it took until 1993 for women to wear pants on the senate floor. "
542,"Yeah, can't make good choices when your sugar has dropped!  It can't believe it took until 1993 for women to wear pants on the senate floor. ","I know.  If I were elected, I would be doing that first day.  Actually, Id probably bring up senate pajama day.  I m all about the comfort."
543,"I know.  If I were elected, I would be doing that first day.  Actually, Id probably bring up senate pajama day.  I m all about the comfort.",I am too. Nothing worse than trying to work and feeling uncomfortable!! Good chat!!
544,I am too. Nothing worse than trying to work and feeling uncomfortable!! Good chat!!,For real!  Have a good one!
545,For real!  Have a good one!,You too! Have a good night!!
546,You too! Have a good night!!,Do you know much about politics?
547,Do you know much about politics?,Just the basics mostly.  Do you know what the 'candy desk' tradition is about?
548,Just the basics mostly.  Do you know what the 'candy desk' tradition is about?,"I've heard one of the Senators keeps candy in their desk. Pretty cool! Did you know that Since 1900, the taller candidate has won the us presidential election 75% of the time?"
549,"I've heard one of the Senators keeps candy in their desk. Pretty cool! Did you know that Since 1900, the taller candidate has won the us presidential election 75% of the time?","What! No, I did not know that, that is very interesting. "
550,"What! No, I did not know that, that is very interesting. ","Also, Astronauts vote from space, so the rest of us have no excuse not to make it to an election. "
551,"Also, Astronauts vote from space, so the rest of us have no excuse not to make it to an election. ","That is crazy, but understandable.  And you are right, gives us no excuse.  Did you know about Jordan's political dealings?"
552,"That is crazy, but understandable.  And you are right, gives us no excuse.  Did you know about Jordan's political dealings?",I don't. Tell me more.
553,I don't. Tell me more.,"He was asked why he would endorse a Democrat, and he said because republicans buy shoes too.  I thought it was funny. "
554,"He was asked why he would endorse a Democrat, and he said because republicans buy shoes too.  I thought it was funny. ","Haha, that is funny! Nevada is the only state to have a ""none of these candidates"" voting option for presidential elections."
555,"Haha, that is funny! Nevada is the only state to have a ""none of these candidates"" voting option for presidential elections.",Yeah I think the Nevada voting laws are quite odd.  
556,Yeah I think the Nevada voting laws are quite odd.  ,The voter turnout for us presidential elections hasn't breached 62.8% in the last 100 years! That's actually more than I would guess. 
557,The voter turnout for us presidential elections hasn't breached 62.8% in the last 100 years! That's actually more than I would guess. ,"Well, we'll see how voting will be done twenty years from now, if they make it easier, the numbers will probably rise. "
558,"Well, we'll see how voting will be done twenty years from now, if they make it easier, the numbers will probably rise. ",That's true. Not all men in the uk had the right to vote until 1918.
559,That's true. Not all men in the uk had the right to vote until 1918.,I wonder how much fraud there was in voting back in 1918. 
560,I wonder how much fraud there was in voting back in 1918. ,"I'm sure a lot. Elections are fairly new. rom 1789 until 1913, Senators were appointed by legislatures of the states they represented; following the ratification of the Seventeenth Amendment in 1913, they are now popularly elected. "
561,"I'm sure a lot. Elections are fairly new. rom 1789 until 1913, Senators were appointed by legislatures of the states they represented; following the ratification of the Seventeenth Amendment in 1913, they are now popularly elected. ",That is a very interesting fact.  Do you remember the first time you voted? 
562,That is a very interesting fact.  Do you remember the first time you voted? ,I don't. it was a long time ago! Women were not allowed to wear pants on the u.s. senate floor until 1993. 
563,I don't. it was a long time ago! Women were not allowed to wear pants on the u.s. senate floor until 1993. ,I think that is the strangest fact of the day.  I think it's wild when observers have to be blocked from polls during elections. 
564,I think that is the strangest fact of the day.  I think it's wild when observers have to be blocked from polls during elections. ,Strange and freaky! dian government sets up a polling booth in a forest full of lions for a single voter.
565,Strange and freaky! dian government sets up a polling booth in a forest full of lions for a single voter.,I think I've read that before! Wild to think about. 
566,I think I've read that before! Wild to think about. ,Nice chatting with you. Thanks!
567,Nice chatting with you. Thanks!,"Hey how are you, can't believe that Georgia senator got arrested!"
568,"Hey how are you, can't believe that Georgia senator got arrested!",She said she was peacefully chanting.
569,She said she was peacefully chanting.,"That's interesting, I wish voting was different now, no reason to still have ballots with no federal holiday for Election Day."
570,"That's interesting, I wish voting was different now, no reason to still have ballots with no federal holiday for Election Day.",It's interesting that astronauts vote from space! 
571,It's interesting that astronauts vote from space! ,"For sure, I wonder if it's confidential up there? How does it get back to earth?"
572,"For sure, I wonder if it's confidential up there? How does it get back to earth?","Right, I'll have to look that up. Indian government sets up a polling booth in a  forest that is full of lions for just one voter."
573,"Right, I'll have to look that up. Indian government sets up a polling booth in a  forest that is full of lions for just one voter.","I wonder if that person even shows up to vote, or why he's in the jungle like that haha. Did you vote last election?"
574,"I wonder if that person even shows up to vote, or why he's in the jungle like that haha. Did you vote last election?","Yes I did. And even though we don't have to go to a forest full of lions, voter turnout for US presidential elections has not reached 62.8 percent in the last 100 years."
575,"Yes I did. And even though we don't have to go to a forest full of lions, voter turnout for US presidential elections has not reached 62.8 percent in the last 100 years.","That's crazy, I wonder if they'll ever fix that, plenty of things they can do about that but never attempt it. "
576,"That's crazy, I wonder if they'll ever fix that, plenty of things they can do about that but never attempt it. ",Since 1900 the taller candidate has won the US presidential election. Hope that's just a coincidence!
577,Since 1900 the taller candidate has won the US presidential election. Hope that's just a coincidence!,"Oh wow, that's pretty crazy. I'm 6'4"", I should run for president lol. "
578,"Oh wow, that's pretty crazy. I'm 6'4"", I should run for president lol. ","Ha, maybe you should. Officials in Athens didn't have much faith in elections. They thought it would lead to oligarchy."
579,"Ha, maybe you should. Officials in Athens didn't have much faith in elections. They thought it would lead to oligarchy.","Oh wow, that's some forward thinking. What is an oligarchy again?"
580,"Oh wow, that's some forward thinking. What is an oligarchy again?",It is where power is concentrated in a small group of people.
581,It is where power is concentrated in a small group of people.,"Ah I gotcha, they're kind of right I'm sure. I wonder what the perfect government system is? Any ideas?"
582,"Ah I gotcha, they're kind of right I'm sure. I wonder what the perfect government system is? Any ideas?","Not sure I have faith in any, as all great civilizations come to an end. It seems like we are still barely progressing though. Women could not wear pants in the US senate floor until 1993 after a couple of women senators protested by wearing pantsuits."
583,"Not sure I have faith in any, as all great civilizations come to an end. It seems like we are still barely progressing though. Women could not wear pants in the US senate floor until 1993 after a couple of women senators protested by wearing pantsuits.","Oh wow, that's crazy how sexist they still were. I agree about the great civilizations coming to an end, they all thought they'd be around forever too."
584,"Oh wow, that's crazy how sexist they still were. I agree about the great civilizations coming to an end, they all thought they'd be around forever too.","I think it's interesting that astronauts vote from space. Yet, we have low turnouts for presidential elections for those of us on earth, haha."
585,"I think it's interesting that astronauts vote from space. Yet, we have low turnouts for presidential elections for those of us on earth, haha.","For sure, I wonder why people don't show up so much, I wish they would more!"
586,"For sure, I wonder why people don't show up so much, I wish they would more!","Yeah, the Indian government set up a polling booth in a forest full of lions for one voter, that is pretty neat."
587,"Yeah, the Indian government set up a polling booth in a forest full of lions for one voter, that is pretty neat.","Very cool. Great chatting with you, I'm going to take off though, take care!"
588,"Very cool. Great chatting with you, I'm going to take off though, take care!",did you watch the movie Frozen?
589,did you watch the movie Frozen?,"I did and loved it so much, and you?"
590,"I did and loved it so much, and you?",me too. Did you know it is the first movie by disney directed by a woman?
591,me too. Did you know it is the first movie by disney directed by a woman?,"Yes and also that it made $1 billion worklwide, that is amazing"
592,"Yes and also that it made $1 billion worklwide, that is amazing",I know. Elsa was the main villain in the original script of the movie
593,I know. Elsa was the main villain in the original script of the movie,Yes but the let it go song was too uplifting to keep her as the villain
594,Yes but the let it go song was too uplifting to keep her as the villain,Yes. And the original title of the movie was the Snow Queen
595,Yes. And the original title of the movie was the Snow Queen,"Yes but they changed it because feminine titles do not seem to do well, so sad"
596,"Yes but they changed it because feminine titles do not seem to do well, so sad",That is sad and it is just the mentality that we have to work hard to change
597,That is sad and it is just the mentality that we have to work hard to change,Yup agreed. They also changed Rapunzel to Tangled for that same reason
598,Yup agreed. They also changed Rapunzel to Tangled for that same reason,Yeah. DO you have a pet?
599,Yeah. DO you have a pet?,I have two cats and a dog. DO you like dogs?
600,I have two cats and a dog. DO you like dogs?,I love dogs. did you there they can have one of the 12 blood types?
601,I love dogs. did you there they can have one of the 12 blood types?,Yes and there are blood drives for dogs
602,Yes and there are blood drives for dogs,So cool. In istanbul they have installed water and food dispensers for dogs
603,So cool. In istanbul they have installed water and food dispensers for dogs,Yes and all you have to do is feed it plastic bottles
604,Yes and all you have to do is feed it plastic bottles,Yes such a genius idea and it helps everyone involved
605,Yes such a genius idea and it helps everyone involved,I know. Dogs are really good at understanding pointing
606,I know. Dogs are really good at understanding pointing,Yes and same goes for the elephants as well
607,Yes and same goes for the elephants as well,Yeah. Google is a dog company it seems
608,Yeah. Google is a dog company it seems,"Yes they have that in their code of conduct, talk about dedication"
609,"Yes they have that in their code of conduct, talk about dedication","I know right, dogs deserve that though"
610,"I know right, dogs deserve that though",Do you like baseball ?
611,Do you like baseball ?,I have heard of it. Do you?
612,I have heard of it. Do you?,"I like, the sport but there is not MLB team in my city, so I don't watch it. But I find it really interesting, full of small details, like managers wear a uniform so they could replace a player if they need to. "
613,"I like, the sport but there is not MLB team in my city, so I don't watch it. But I find it really interesting, full of small details, like managers wear a uniform so they could replace a player if they need to. ","That is probably a holdover from the old days when a player was chosen to be manager. Nowadays, it wouldn't work."
614,"That is probably a holdover from the old days when a player was chosen to be manager. Nowadays, it wouldn't work.","Yes, I wonder if it could be even dangerous for some of them, like some could have an heart attack.  "
615,"Yes, I wonder if it could be even dangerous for some of them, like some could have an heart attack.  ","Yeah, no insurance company would touch the managers on the field, that's for sure."
616,"Yeah, no insurance company would touch the managers on the field, that's for sure.","I think they would be better at softball, did you ever watch a softball game ? "
617,"I think they would be better at softball, did you ever watch a softball game ? ","I have never watched a softball game, though I understand many women play it. "
618,"I have never watched a softball game, though I understand many women play it. ","I think it is more a hobby than a professional sport, the average salary is around 5500 $ per year, some hobos make more. "
619,"I think it is more a hobby than a professional sport, the average salary is around 5500 $ per year, some hobos make more. ","Hobos? I never thought of income in terms of hobos, though I guess they do make money through their illicit means. "
620,"Hobos? I never thought of income in terms of hobos, though I guess they do make money through their illicit means. ","Panhandling can be quite profitable, for someone with no income. Like in a busy place as Manhattan. But even if I don't consider softball as a legitimate pro sport, if was the first event televised on ESPN.   "
621,"Panhandling can be quite profitable, for someone with no income. Like in a busy place as Manhattan. But even if I don't consider softball as a legitimate pro sport, if was the first event televised on ESPN.   ",Can you win money through betting though? That always legitimizes a sport.
622,Can you win money through betting though? That always legitimizes a sport.,"Yes, if it is your criteria, then video game is a legitimate sport. They have leagues and a lot of betting is done on matches. "
623,"Yes, if it is your criteria, then video game is a legitimate sport. They have leagues and a lot of betting is done on matches. ","Their is a physicality to what they do, but it's just in the hands."
624,"Their is a physicality to what they do, but it's just in the hands.","As shooting, and it is even an Olympic sport, but it is strange to see a smoking fat man winning a medal. Do you play video games ?"
625,"As shooting, and it is even an Olympic sport, but it is strange to see a smoking fat man winning a medal. Do you play video games ?",I used to play video games. Not much now. Lost interest. Do you? 
626,I used to play video games. Not much now. Lost interest. Do you? ,"Me too, I have lost interest playing before I have lost interest in buy them so I have a backlog of a few games that reminds me  not to buy the next console. It is the more and more popular, 3 billon hours are played on video games each week on Earth. "
627,"Me too, I have lost interest playing before I have lost interest in buy them so I have a backlog of a few games that reminds me  not to buy the next console. It is the more and more popular, 3 billon hours are played on video games each week on Earth. ",Wow. So much time on games. I guess it's about the same as time spent watching TV.
628,Wow. So much time on games. I guess it's about the same as time spent watching TV.,"Yes, but video are viewed more negatively than TV, that is why you have legislation in some countries limiting the time played by children."
629,"Yes, but video are viewed more negatively than TV, that is why you have legislation in some countries limiting the time played by children.",It is important to keep the kids from losing themselves in the games. Which countries restrict video games?
630,It is important to keep the kids from losing themselves in the games. Which countries restrict video games?,"There is Korea limiting kids under 16, and China I think. Mostly Asian countries. "
631,"There is Korea limiting kids under 16, and China I think. Mostly Asian countries. ","The kids there go nuts over games. I know that there are pro gamers in Korea. Anyway, fun chat!"
632,"The kids there go nuts over games. I know that there are pro gamers in Korea. Anyway, fun chat!","You too, have a good evening."
633,"You too, have a good evening.",Hi there are you a baseball fan?
634,Hi there are you a baseball fan?,i like baseball. i usually watch the world series. You?
635,i like baseball. i usually watch the world series. You?,I'm a fan.  Did you know that baseball managers wear uniforms because they are technically able to play for their teams if needed.
636,I'm a fan.  Did you know that baseball managers wear uniforms because they are technically able to play for their teams if needed.,I think that is a holdover from the old days. i bet back then a player was chosen to also be manager.
637,I think that is a holdover from the old days. i bet back then a player was chosen to also be manager.,I'm not sure how that worked.  The last one to do that I remember was Pete Rose back in the late 80's.  He played every day and managed at the same time.
638,I'm not sure how that worked.  The last one to do that I remember was Pete Rose back in the late 80's.  He played every day and managed at the same time.,"yeah, he was a competitive guy. probably perfect for the dual role of manager/player."
639,"yeah, he was a competitive guy. probably perfect for the dual role of manager/player.",Up until 2005 a married couple scheduled all 2430 major league baseball games played each year for 24 years!  I bet that could get confusing.
640,Up until 2005 a married couple scheduled all 2430 major league baseball games played each year for 24 years!  I bet that could get confusing.,"Yeah, i figured that was all done by computer.  I guess they had a pretty sweet gig."
641,"Yeah, i figured that was all done by computer.  I guess they had a pretty sweet gig.",Must have paid pretty good otherwise I don't think they would have done it for that long.  A man found 3 million dollars worth of baseball cards in grandfathers attic that were hidden since the 1940's.  He hit the jackpot.
642,Must have paid pretty good otherwise I don't think they would have done it for that long.  A man found 3 million dollars worth of baseball cards in grandfathers attic that were hidden since the 1940's.  He hit the jackpot.,"Wow. I would probably sell some, and keep the rest as an investment. What would you do?"
643,"Wow. I would probably sell some, and keep the rest as an investment. What would you do?",I would do exactly the same as you.  How could you not pass that up the chance to set yourself up for life? lol
644,I would do exactly the same as you.  How could you not pass that up the chance to set yourself up for life? lol,"Yeah, that is quite lucky. Do you follow softball at all?"
645,"Yeah, that is quite lucky. Do you follow softball at all?",I actually enjoy watching college softball on ESPNU!
646,I actually enjoy watching college softball on ESPNU!,Really? the womens game? do men play as well?
647,Really? the womens game? do men play as well?,"lol I watch the women though because the pitchers really sling that ball to the plate.  On May 11, 1991 Creighton hosted Utah in the longest softball game in NCAA history lasting 31 innings!"
648,"lol I watch the women though because the pitchers really sling that ball to the plate.  On May 11, 1991 Creighton hosted Utah in the longest softball game in NCAA history lasting 31 innings!","Yeah, that underhand pitch can really move. That is one long game! Not much of a career after college though. As of 2014, the average salary for a professional softball player is between $5,000 and $6,000."
649,"Yeah, that underhand pitch can really move. That is one long game! Not much of a career after college though. As of 2014, the average salary for a professional softball player is between $5,000 and $6,000.",No.  Not enough fans to support it. lol  Jose Canseco claims to hold the record for longest softball homerun at 622 feet.  He might have it.  I've watched him hitting softballs on youtube.  He crushes them even still to this day.
650,No.  Not enough fans to support it. lol  Jose Canseco claims to hold the record for longest softball homerun at 622 feet.  He might have it.  I've watched him hitting softballs on youtube.  He crushes them even still to this day.,He had the juice to hit the balls a country mile. I didnt know he played softball. 
651,He had the juice to hit the balls a country mile. I didnt know he played softball. ,Check it out on youtube.  I was shocked at how far the balls go. lol  Kickball is also called soccer-baseball in Canada! lol It's been fun chatting!
652,Check it out on youtube.  I was shocked at how far the balls go. lol  Kickball is also called soccer-baseball in Canada! lol It's been fun chatting!,"Yes, it has been fun chatting! Have a good weekend!"
653,"Yes, it has been fun chatting! Have a good weekend!",You have a great weekend too!
654,You have a great weekend too!,"Hi, how are you doing this fine evening?"
655,"Hi, how are you doing this fine evening?",Hey there I'm doing great. What did you think about the Disney movie Frozen?
656,Hey there I'm doing great. What did you think about the Disney movie Frozen?,"I haven't seen it. Is it a good film? It's animated, right? With lots of songs?"
657,"I haven't seen it. Is it a good film? It's animated, right? With lots of songs?","Yes it uses computer animation and it has love songs. It was super popular. There's a song that all the little kids were saying called""Let It Go and I guess it's based on the Hans Christian Andersen fairy tale called the snow queen"
